Collection,SKU,Image,Barcode ,Products Name (TH),Products name (Eng),ราคาขายแนะนำ,RSP,ราคาทุน,Color ,Size,"Weight (G.)
น้ำหนัก","Width (Cm.)
กว้าง","Lenght (Cm.)
ยาว","height (Cm.)
สูง","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
30-50","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
51-100","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
101",Categories,Sub Category,Description (ภาษาไทย),Description,Ratings,"Shelf Life 
(Year)"
,OTS-02-3XLL,,8859771509821,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ชีวิตลั้นลา สีฟ้า, 3XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Chewit Lanla"",lightBlue , Size 3XL",690.00,19.99,310.30,lightBlue,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-00MG,,8859771509630,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - นักอนุรักษ์ สีเขียว, M","""Tie-dye-patterned couple
 shirts for Owner""Nak Anurak"",Green , Size M",690.00,19.99,310.30,Green,M,163 g,44,56,55,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-00LG,,8859771509562,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - นักอนุรักษ์ สีเขียว, L","""Tie-dye-patterned couple
 shirts for Owner""Nak Anurak"",Green , Size L",690.00,19.99,310.30,Green,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-0XLG,,8859771509708,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - นักอนุรักษ์ สีเขียว, XL","""Tie-dye-patterned couple
 shirts for Owner""Nak Anurak"",Green , Size XL",690.00,19.99,310.30,Green,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-3XLG,,8859771509791,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - นักอนุรักษ์ สีเขียว, 3XL","""Tie-dye-patterned couple
 shirts for Owner""Nak Anurak"",Green , Size 3XL",690.00,19.99,310.30,Green,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-00MR,,8859771509661,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ไอ้ต้าว สีชมพู, M","""Tie-dye-patterned couple
 shirts for Owner""ITAW"",Pink , Size M",690.00,19.99,310.30,Pink,M,163 g,44,56,55,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00LR,,8859771509609,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ไอ้ต้าว สีชมพู, L","""Tie-dye-patterned couple
 shirts for Owner""ITAW"",Pink , Size L",690.00,19.99,310.30,Pink,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-0XLR,,8859771509753,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ไอ้ต้าว สีชมพู, XL","""Tie-dye-patterned couple
 shirts for Owner""ITAW"",Pink , Size XL",690.00,19.99,310.30,Pink,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-3XLR,,8859771509845,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - ไอ้ต้าว สีชมพู, 3XL","""Tie-dye-patterned couple
 shirts for Owner""ITAW"",Pink , Size 3XL",690.00,19.99,310.30,Pink,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00MM,,8859771509654,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีเรนโบว์, M","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Rainbow , Size M",690.00,19.99,310.30,Rainbow,M,163 g,44,56,55,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00LM,,8859771509593,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีเรนโบว์, L","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Rainbow , Size L",690.00,19.99,310.30,Rainbow,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-0XLM,,8859771509746,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีเรนโบว์, XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Rainbow , Size XL",690.00,19.99,310.30,Rainbow,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-3XLM,,8859771509838,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - คนมีภาระ สีเรนโบว์, 3XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Kon mee Para"",Rainbow, Size 3XL",690.00,19.99,310.30,Rainbow,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,5,2
,OTS-02-00MB,,8859771509616,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - สู้ชีวิต สีดำ, M","""Tie-dye-patterned couple
 shirts for Owner"" ""Su Cheewit"",Black, Size M",690.00,19.99,310.30,Black,M,163 g,44,56,55,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-00LB,,8859771509548,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - สู้ชีวิต สีดำ, L","""Tie-dye-patterned couple
 shirts for Owner"" ""Su Cheewit"",Black, Size L",690.00,19.99,310.30,Black,L,186 g,50,63.5,63,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-0XLB,,8859771509678,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - สู้ชีวิต สีดำ, XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Su Cheewit"",Black, Size XL",690.00,19.99,310.30,Black,XL,242 g,61,68.5,68,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-02-3XLB,,8859771509760,"เสื้อคน - เสื้อคู่ผ้ามัดย้อม - สู้ชีวิต สีดำ, 3XL","""Tie-dye-patterned couple
 shirts for Owner"" ""Su Cheewit"",Black, Size 3XL",690.00,19.99,310.30,Black,3XL,300 g,67,76,75,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,4,2
,OTS-06-00SI,,8859771510223,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - อภิชาตบุตร สีส้ม, Size S","""Tie-dye-patterned couple
 shirts for pet""Apichartabuthr"",Orange , Size S",390.00,11.99,123.05,Orange,S ,49 g,42.0,26.0,26,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"กดซื้อคู่ลดทันที เซ็ทสุดคุ้ม คละสี คละลายได้

ขนาดสินค้าอยู่ในรูป เลื่อนดูได้เลยนะคะ 



📍 ราคาส่ง ราคาพิเศษ ทักแชทมาได้ค่ะ 

เสื้อคู่คน x สัตว์เลี้ยง สไตล์มัดย้อม ทรงโอเวอไซส์ ผ้านิ่ม ใส่สบาย ไม่ร้อน

ยอดสั่งซื้อกว่า 400 ออเดอร์บน FB,IG ไปส่องเพจก่อนได้ค่ะ clawset.bkk 

เซเลป influencers ใส่กันเยอะมาก เสื้อสบาย ใส่ได้จริง ลายสกรีนน่ารักเหมาะกับคนเลี้ยงน้อง 🐶



มีให้เลือก 7 แบบ

ไอ้อ้วน
ภาระ
ภาระสีเรนโบว์
อภิชาตบุตร
ชีวิตดี๊ดี
สัตว์สงวน
 ชีวิตสู้กลับ","Description:
Give your furry friend a fashionable makeover with our Pawsome Tie-Dye Pet Shirt Collection. Designed to add a pop of color and personality to your pet's wardrobe, each shirt in this collection is a unique blend of vibrant hues and comfortable fit. Available in 7 charming iterations, there's a perfect design for every pet's personality and style.

Key Features:

Handcrafted Uniqueness: Each pet shirt is hand-dyed, ensuring every piece is a one-of-a-kind creation. Celebrate your pet's individuality with a truly unique shirt.

Soft and Comfortable Fabric: Made from high-quality, breathable cotton, these shirts provide ultimate comfort for your pet, making them perfect for daily wear.

Bright and Lasting Colors: Our tie-dye process ensures rich, vibrant colors that stay bright and beautiful, even after multiple washes.

Pet-Friendly Dyes: We use non-toxic, pet-safe dyes to ensure your furry friend's safety and well-being.

Easy to Wear: Designed with a relaxed fit and easy on-and-off design, these shirts are hassle-free for both you and your pet.

Durable and Machine Washable: These shirts are built to withstand your pet's adventures and are easy to clean, maintaining their vivid colors and softness.

Available Sizes: Offered in a variety of sizes to fit pets of all shapes and breeds, from small kittens to large dogs.

Charming Designs: Choose from 7 delightful tie-dye patterns, each named to reflect their unique charm:

Apichartabuthr
Phara(blue)
Cheewit Deedee
I ouen
Phara(rainbow)",5,2
,OTS-06-00MI,,8859771510148,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - อภิชาตบุตร สีส้ม, Size M","""Tie-dye-patterned couple
 shirts for pet""Apichartabuthr"",Orange , SizeM",390.00,11.99,123.05,Orange,M,51 g,46.0,27.0,27,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-00LI,,8859771510063,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - อภิชาตบุตร สีส้ม, Size L","""Tie-dye-patterned couple
 shirts for pet""Apichartabuthr"",Orange , Size L",390.00,11.99,123.05,Orange,L,66 g,56.0,30.0,30,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-0XLI,,8859771510308,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - อภิชาตบุตร สีส้ม, Size XL","""Tie-dye-patterned couple
 shirts for pet""Apichartabuthr"",Orange , Size XL",390.00,11.99,123.05,Orange,XL,89 g,66.0,38.0,38,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-2XLI,,8859771510384,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - อภิชาตบุตร สีส้ม, Size 2XL","""Tie-dye-patterned couple
 shirts for pet""Apichartabuthr"",Orange , Size 2XL",390.00,11.99,123.05,Orange,2XL,109 g,76.0,42.0,42,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-3XLI,,8859771510452,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - อภิชาตบุตร สีส้ม, Size 3XL","""Tie-dye-patterned couple
 shirts for pet""Apichartabuthr"",Orange , Size 3XL",390.00,11.99,123.05,Orange,3XL,142 g,90.0,45.0,45,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-00SC,,8859771510193,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ภาระ สีน้ำเงิน, Size S","""Tie-dye-patterned couple
 shirts for pet""Phara"",Blue , Size S",390.00,11.99,123.05,Blue,S,49 g,42.0,26.0,26,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-00MC,,8859771510117,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ภาระ สีน้ำเงิน, Size M","""Tie-dye-patterned couple
 shirts for pet""Phara"",Blue , Size M",390.00,11.99,123.05,Blue,M,51 g,46.0,27.0,27,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-00LC,,8859771510032,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ภาระ สีน้ำเงิน, Size L","""Tie-dye-patterned couple
 shirts for pet""Phara"",Blue , Size L",390.00,11.99,123.05,Blue,L,66 g,56.0,30.0,30,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-0XLC,,8859771510278,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ภาระ สีน้ำเงิน, Size XL","""Tie-dye-patterned couple
 shirts for pet""Phara"",Blue , Size XL",390.00,11.99,123.05,Blue,XL,89 g,66.0,38.0,38,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-2XLC,,8859771510353,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ภาระ สีน้ำเงิน, Size 2XL","""Tie-dye-patterned couple
 shirts for pet""Phara"",Blue , Size 2XL",390.00,11.99,123.01,Blue,2XL,109 g,76.0,42.0,42,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-3XLC,,8859771510421,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ภาระ สีน้ำเงิน, Size 3XL","""Tie-dye-patterned couple
 shirts for pet""Phara"",Blue , Size 3XL",390.00,11.99,123.05,Blue,3XL,142 g,90.0,45.0,45,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,5,2
,OTS-06-00SD,,8859771510209,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ชีวิตดี๊ดี สีฟ้า, Size S","""Tie-dye-patterned couple
 shirts for pet""Chewit Deedee"",Blue , Size S",390.00,11.99,110.00,Blue,S,49 g,42.0,26.0,26,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,4,2
,OTS-06-00MD,,8859771510124,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ชีวิตดี๊ดี สีฟ้า, Size M","""Tie-dye-patterned couple
 shirts for pet""Chewit Deedee"",Blue , Size M",390.00,11.99,110.00,Blue,M,51 g,46.0,27.0,27,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,4,2
,OTS-06-00LD,,8859771510049,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ชีวิตดี๊ดี สีฟ้า, Size L","""Tie-dye-patterned couple
 shirts for pet""Chewit Deedee"",Blue , Size L",390.00,11.99,110.00,Blue,L,66 g,56.0,30.0,30,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,4,2
,OTS-06-0XLD,,8859771510285,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ชีวิตดี๊ดี สีฟ้า, Size XL","""Tie-dye-patterned couple
 shirts for pet""Chewit Deedee"",Blue , Size XL",390.00,11.99,110.00,Blue,XL,89 g,66.0,38.0,38,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,4,2
,OTS-06-2XLD,,8859771510360,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ชีวิตดี๊ดี สีฟ้า, Size 2XL","""Tie-dye-patterned couple
 shirts for pet""Chewit Deedee"",Blue , Size 2XL",390.00,11.99,123.05,Blue,2XL,109 g,76.0,42.0,42,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,4,2
,OTS-06-3XLD,,8859771510438,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อม - ชีวิตดี๊ดี สีฟ้า, Size 3XL","""Tie-dye-patterned couple
 shirts for pet""Chewit Deedee"",Blue , Size 3XL",390.00,11.99,123.05,Blue,3XL,142 g,90.0,45.0,45,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,4,2
